,eleve,note,groupe,quizz
366,eleve122,100 %,ibo3,td2
367,eleve124,80 %,ibo3,td2
368,eleve127,100 %,ibo3,td2
369,eleve129,80 %,ibo3,td2
370,eleve137,100 %,ibo3,td2
371,eleve148,100 %,ibo3,td2
372,eleve163,100 %,ibo3,td2
373,eleve173,60 %,ibo3,td2
374,eleve165,60 %,ibo3,td2
375,eleve167,100 %,ibo3,td2
376,eleve171,100 %,ibo3,td2
377,eleve180,80 %,ibo3,td2
378,eleve190,60 %,ibo3,td2
379,eleve193,100 %,ibo3,td2
380,eleve198,100 %,ibo3,td2
381,eleve2,100 %,ibo3,td4
382,eleve11,"71,43 %",ibo3,td4
383,eleve23,"71,43 %",ibo3,td4
384,eleve30,100 %,ibo3,td4
385,eleve37,100 %,ibo3,td4
386,eleve55,"57,14 %",ibo3,td4
387,eleve66,"85,71 %",ibo3,td4
388,eleve71,"71,43 %",ibo3,td4
389,eleve72,"85,71 %",ibo3,td4
390,eleve80,"85,71 %",ibo3,td4
391,eleve86,"85,71 %",ibo3,td4
392,eleve113,"85,71 %",ibo3,td4
393,eleve108,"71,43 %",ibo3,td4
394,eleve109,"57,14 %",ibo3,td4
395,eleve122,"85,71 %",ibo3,td4
396,eleve124,"85,71 %",ibo3,td4
397,eleve127,"71,43 %",ibo3,td4
398,eleve129,"85,71 %",ibo3,td4
399,eleve137,"85,71 %",ibo3,td4
400,eleve148,"85,71 %",ibo3,td4
401,eleve173,"85,71 %",ibo3,td4
402,eleve165,"71,43 %",ibo3,td4
403,eleve167,"71,43 %",ibo3,td4
404,eleve171,"85,71 %",ibo3,td4
405,eleve180,"85,71 %",ibo3,td4
406,eleve190,"85,71 %",ibo3,td4
407,eleve193,"85,71 %",ibo3,td4
408,eleve198,"85,71 %",ibo3,td4
409,eleve2,100 %,ibo3,td3
410,eleve11,"66,67 %",ibo3,td3
411,eleve23,"83,33 %",ibo3,td3
412,eleve30,100 %,ibo3,td3
413,eleve37,100 %,ibo3,td3
414,eleve66,"83,33 %",ibo3,td3
415,eleve71,100 %,ibo3,td3
416,eleve72,100 %,ibo3,td3
417,eleve80,"83,33 %",ibo3,td3
418,eleve86,"83,33 %",ibo3,td3
419,eleve113,100 %,ibo3,td3
420,eleve108,"83,33 %",ibo3,td3
421,eleve109,"83,33 %",ibo3,td3
422,eleve122,"83,33 %",ibo3,td3
423,eleve124,100 %,ibo3,td3
424,eleve127,"83,33 %",ibo3,td3
425,eleve129,"83,33 %",ibo3,td3
426,eleve137,"83,33 %",ibo3,td3
427,eleve148,"83,33 %",ibo3,td3
428,eleve173,"83,33 %",ibo3,td3
429,eleve165,100 %,ibo3,td3
430,eleve167,"83,33 %",ibo3,td3
431,eleve171,100 %,ibo3,td3
432,eleve180,100 %,ibo3,td3
433,eleve190,"83,33 %",ibo3,td3
434,eleve193,"83,33 %",ibo3,td3
435,eleve198,"83,33 %",ibo3,td3
436,eleve126,100 %,ibo7,td2
437,eleve135,80 %,ibo7,td2
438,eleve141,60 %,ibo7,td2
439,eleve152,100 %,ibo7,td2
440,eleve155,100 %,ibo7,td2
441,eleve170,100 %,ibo7,td2
442,eleve172,40 %,ibo7,td2
443,eleve189,100 %,ibo7,td2
444,eleve0,80 %,ibo2,td2
445,eleve1,100 %,ibo2,td2
446,eleve4,100 %,ibo2,td2
447,eleve22,100 %,ibo2,td2
448,eleve39,100 %,ibo2,td2
449,eleve53,100 %,ibo2,td2
450,eleve56,100 %,ibo2,td2
451,eleve63,100 %,ibo2,td2
452,eleve64,100 %,ibo2,td2
453,eleve67,100 %,ibo2,td2
454,eleve76,100 %,ibo2,td2
455,eleve85,100 %,ibo2,td2
456,eleve95,100 %,ibo2,td2
457,eleve88,100 %,ibo2,td2
458,eleve92,100 %,ibo2,td2
459,eleve94,100 %,ibo2,td2
460,eleve99,100 %,ibo2,td2
461,eleve112,100 %,ibo2,td2
462,eleve123,80 %,ibo2,td2
463,eleve130,100 %,ibo2,td2
464,eleve136,100 %,ibo2,td2
465,eleve140,100 %,ibo2,td2
466,eleve146,100 %,ibo2,td2
467,eleve158,100 %,ibo2,td2
468,eleve159,100 %,ibo2,td2
469,eleve168,100 %,ibo2,td2
470,eleve175,100 %,ibo2,td2
471,eleve191,100 %,ibo2,td2
472,eleve200,100 %,ibo2,td2
473,eleve202,100 %,ibo2,td2
474,eleve7,100 %,ibo7,td2
475,eleve9,60 %,ibo7,td2
476,eleve10,100 %,ibo7,td2
477,eleve13,100 %,ibo7,td2
478,eleve15,100 %,ibo7,td2
479,eleve16,80 %,ibo7,td2
480,eleve17,100 %,ibo7,td2
481,eleve21,100 %,ibo7,td2
482,eleve28,80 %,ibo7,td2
483,eleve35,60 %,ibo7,td2
484,eleve36,100 %,ibo7,td2
485,eleve42,40 %,ibo7,td2
486,eleve48,100 %,ibo7,td2
487,eleve54,100 %,ibo7,td2
488,eleve75,40 %,ibo7,td2
489,eleve100,100 %,ibo7,td2
490,eleve101,100 %,ibo7,td2
491,eleve114,100 %,ibo7,td2
492,eleve104,100 %,ibo7,td2
493,eleve105,60 %,ibo7,td2
494,eleve7,"85,71 %",ibo7,td4
495,eleve9,"85,71 %",ibo7,td4
496,eleve10,"85,71 %",ibo7,td4
497,eleve13,"85,71 %",ibo7,td4
498,eleve15,"85,71 %",ibo7,td4
499,eleve16,"85,71 %",ibo7,td4
500,eleve17,100 %,ibo7,td4
501,eleve21,100 %,ibo7,td4
502,eleve28,"85,71 %",ibo7,td4
503,eleve35,"85,71 %",ibo7,td4
504,eleve36,100 %,ibo7,td4
505,eleve42,"85,71 %",ibo7,td4
506,eleve48,"85,71 %",ibo7,td4
507,eleve54,100 %,ibo7,td4
508,eleve75,"85,71 %",ibo7,td4
509,eleve100,100 %,ibo7,td4
510,eleve101,"85,71 %",ibo7,td4
511,eleve114,"85,71 %",ibo7,td4
512,eleve104,100 %,ibo7,td4
513,eleve105,"85,71 %",ibo7,td4
514,eleve5,"28,57 %",ibo5,td1
515,eleve24,"71,43 %",ibo5,td1
516,eleve26,"85,71 %",ibo5,td1
517,eleve40,"28,57 %",ibo5,td1
518,eleve41,"71,43 %",ibo5,td1
519,eleve50,"42,86 %",ibo5,td1
520,eleve51,"57,14 %",ibo5,td1
521,eleve57,"57,14 %",ibo5,td1
522,eleve65,"71,43 %",ibo5,td1
523,eleve70,"71,43 %",ibo5,td1
524,eleve82,"57,14 %",ibo5,td1
525,eleve111,0 %,ibo5,td1
526,eleve116,"71,43 %",ibo5,td1
527,eleve119,"42,86 %",ibo5,td1
528,eleve121,"85,71 %",ibo5,td1
529,eleve132,"85,71 %",ibo5,td1
530,eleve134,"42,86 %",ibo5,td1
531,eleve138,"28,57 %",ibo5,td1
532,eleve142,"28,57 %",ibo5,td1
533,eleve144,"57,14 %",ibo5,td1
534,eleve145,"57,14 %",ibo5,td1
535,eleve156,"28,57 %",ibo5,td1
536,eleve160,"42,86 %",ibo5,td1
537,eleve174,"71,43 %",ibo5,td1
538,eleve166,"57,14 %",ibo5,td1
539,eleve176,"57,14 %",ibo5,td1
540,eleve186,"57,14 %",ibo5,td1
541,eleve7,"57,14 %",ibo7,td1
542,eleve9,"57,14 %",ibo7,td1
543,eleve10,"71,43 %",ibo7,td1
544,eleve13,100 %,ibo7,td1
545,eleve15,100 %,ibo7,td1
546,eleve16,"28,57 %",ibo7,td1
547,eleve17,"85,71 %",ibo7,td1
548,eleve21,"85,71 %",ibo7,td1
549,eleve28,"71,43 %",ibo7,td1
550,eleve35,"57,14 %",ibo7,td1
551,eleve36,100 %,ibo7,td1
552,eleve42,"71,43 %",ibo7,td1
553,eleve48,"57,14 %",ibo7,td1
554,eleve54,100 %,ibo7,td1
555,eleve75,"42,86 %",ibo7,td1
556,eleve100,"85,71 %",ibo7,td1
557,eleve101,100 %,ibo7,td1
558,eleve114,"57,14 %",ibo7,td1
559,eleve104,"71,43 %",ibo7,td1
560,eleve105,"57,14 %",ibo7,td1
561,eleve8,100 %,ibo4,td3
562,eleve14,100 %,ibo4,td3
563,eleve29,100 %,ibo4,td3
564,eleve32,"66,67 %",ibo4,td3
565,eleve43,100 %,ibo4,td3
566,eleve44,"83,33 %",ibo4,td3
567,eleve49,100 %,ibo4,td3
568,eleve61,100 %,ibo4,td3
569,eleve69,"83,33 %",ibo4,td3
570,eleve78,100 %,ibo4,td3
571,eleve79,100 %,ibo4,td3
572,eleve84,"83,33 %",ibo4,td3
573,eleve97,"83,33 %",ibo4,td3
574,eleve87,"66,67 %",ibo4,td3
575,eleve89,100 %,ibo4,td3
576,eleve90,100 %,ibo4,td3
577,eleve98,100 %,ibo4,td3
578,eleve128,"83,33 %",ibo4,td3
579,eleve139,100 %,ibo4,td3
580,eleve149,100 %,ibo4,td3
581,eleve182,"66,67 %",ibo4,td3
582,eleve183,"66,67 %",ibo4,td3
583,eleve184,"66,67 %",ibo4,td3
584,eleve185,"83,33 %",ibo4,td3
585,eleve188,"66,67 %",ibo4,td3
586,eleve194,"83,33 %",ibo4,td3
587,eleve203,"66,67 %",ibo4,td3
588,eleve204,100 %,ibo4,td3
589,eleve126,100 %,ibo7,td4
590,eleve135,"85,71 %",ibo7,td4
591,eleve141,100 %,ibo7,td4
592,eleve152,100 %,ibo7,td4
593,eleve155,"85,71 %",ibo7,td4
594,eleve169,"71,43 %",ibo7,td4
595,eleve170,100 %,ibo7,td4
596,eleve172,"85,71 %",ibo7,td4
597,eleve189,100 %,ibo7,td4
598,eleve8,100 %,ibo4,td2
599,eleve14,100 %,ibo4,td2
600,eleve19,100 %,ibo4,td2
601,eleve29,100 %,ibo4,td2
602,eleve32,60 %,ibo4,td2
603,eleve43,60 %,ibo4,td2
604,eleve44,100 %,ibo4,td2
605,eleve49,80 %,ibo4,td2
606,eleve61,100 %,ibo4,td2
607,eleve69,100 %,ibo4,td2
608,eleve78,100 %,ibo4,td2
609,eleve79,100 %,ibo4,td2
610,eleve84,100 %,ibo4,td2
611,eleve97,60 %,ibo4,td2
612,eleve87,40 %,ibo4,td2
613,eleve89,100 %,ibo4,td2
614,eleve90,100 %,ibo4,td2
615,eleve98,100 %,ibo4,td2
616,eleve128,80 %,ibo4,td2
617,eleve139,100 %,ibo4,td2
618,eleve149,100 %,ibo4,td2
619,eleve182,80 %,ibo4,td2
620,eleve183,100 %,ibo4,td2
621,eleve184,80 %,ibo4,td2
622,eleve185,80 %,ibo4,td2
623,eleve194,60 %,ibo4,td2
624,eleve204,80 %,ibo4,td2
625,eleve126,"71,43 %",ibo7,td1
626,eleve135,"85,71 %",ibo7,td1
627,eleve141,"71,43 %",ibo7,td1
628,eleve152,"71,43 %",ibo7,td1
629,eleve155,"57,14 %",ibo7,td1
630,eleve169,"85,71 %",ibo7,td1
631,eleve170,100 %,ibo7,td1
632,eleve172,"85,71 %",ibo7,td1
633,eleve189,"85,71 %",ibo7,td1
634,eleve6,50 %,ibo6,td3
635,eleve25,"83,33 %",ibo6,td3
636,eleve38,100 %,ibo6,td3
637,eleve52,100 %,ibo6,td3
638,eleve58,100 %,ibo6,td3
639,eleve59,100 %,ibo6,td3
640,eleve60,"66,67 %",ibo6,td3
641,eleve62,100 %,ibo6,td3
642,eleve73,50 %,ibo6,td3
643,eleve74,100 %,ibo6,td3
644,eleve81,100 %,ibo6,td3
645,eleve83,"83,33 %",ibo6,td3
646,eleve107,50 %,ibo6,td3
647,eleve115,100 %,ibo6,td3
648,eleve118,100 %,ibo6,td3
649,eleve120,"66,67 %",ibo6,td3
650,eleve125,50 %,ibo6,td3
651,eleve143,100 %,ibo6,td3
652,eleve150,"83,33 %",ibo6,td3
653,eleve151,100 %,ibo6,td3
654,eleve157,"83,33 %",ibo6,td3
655,eleve162,"83,33 %",ibo6,td3
656,eleve177,"66,67 %",ibo6,td3
657,eleve187,50 %,ibo6,td3
658,eleve181,"83,33 %",ibo6,td3
659,eleve192,"83,33 %",ibo6,td3
660,eleve195,100 %,ibo6,td3
661,eleve205,100 %,ibo6,td3
662,eleve6,100 %,ibo6,td2
663,eleve25,60 %,ibo6,td2
664,eleve38,100 %,ibo6,td2
665,eleve52,40 %,ibo6,td2
666,eleve58,100 %,ibo6,td2
667,eleve59,100 %,ibo6,td2
668,eleve60,100 %,ibo6,td2
669,eleve62,100 %,ibo6,td2
670,eleve73,60 %,ibo6,td2
671,eleve74,100 %,ibo6,td2
672,eleve81,100 %,ibo6,td2
673,eleve83,100 %,ibo6,td2
674,eleve93,60 %,ibo6,td2
675,eleve107,100 %,ibo6,td2
676,eleve118,100 %,ibo6,td2
677,eleve120,100 %,ibo6,td2
678,eleve125,100 %,ibo6,td2
679,eleve143,80 %,ibo6,td2
680,eleve150,80 %,ibo6,td2
681,eleve151,100 %,ibo6,td2
682,eleve157,100 %,ibo6,td2
683,eleve162,60 %,ibo6,td2
684,eleve177,100 %,ibo6,td2
685,eleve187,100 %,ibo6,td2
686,eleve181,100 %,ibo6,td2
687,eleve192,100 %,ibo6,td2
688,eleve195,100 %,ibo6,td2
689,eleve205,100 %,ibo6,td2
690,eleve207,80 %,ibo6,td2
691,eleve0,100 %,ibo2,td3
692,eleve1,100 %,ibo2,td3
693,eleve4,100 %,ibo2,td3
694,eleve53,100 %,ibo2,td3
695,eleve56,"83,33 %",ibo2,td3
696,eleve64,"83,33 %",ibo2,td3
697,eleve67,100 %,ibo2,td3
698,eleve76,100 %,ibo2,td3
699,eleve85,"83,33 %",ibo2,td3
700,eleve95,100 %,ibo2,td3
701,eleve88,100 %,ibo2,td3
702,eleve92,100 %,ibo2,td3
703,eleve94,"83,33 %",ibo2,td3
704,eleve99,100 %,ibo2,td3
705,eleve112,100 %,ibo2,td3
706,eleve123,100 %,ibo2,td3
707,eleve130,100 %,ibo2,td3
708,eleve136,"83,33 %",ibo2,td3
709,eleve140,100 %,ibo2,td3
710,eleve146,100 %,ibo2,td3
711,eleve158,"83,33 %",ibo2,td3
712,eleve159,100 %,ibo2,td3
713,eleve168,"83,33 %",ibo2,td3
714,eleve175,100 %,ibo2,td3
715,eleve191,100 %,ibo2,td3
716,eleve200,100 %,ibo2,td3
717,eleve202,100 %,ibo2,td3
718,eleve5,100 %,ibo5,td3
719,eleve24,100 %,ibo5,td3
720,eleve26,100 %,ibo5,td3
721,eleve40,100 %,ibo5,td3
722,eleve41,"66,67 %",ibo5,td3
723,eleve50,100 %,ibo5,td3
724,eleve57,100 %,ibo5,td3
725,eleve65,100 %,ibo5,td3
726,eleve82,100 %,ibo5,td3
727,eleve111,"83,33 %",ibo5,td3
728,eleve116,50 %,ibo5,td3
729,eleve117,100 %,ibo5,td3
730,eleve119,"83,33 %",ibo5,td3
731,eleve121,100 %,ibo5,td3
732,eleve132,100 %,ibo5,td3
733,eleve134,"83,33 %",ibo5,td3
734,eleve138,100 %,ibo5,td3
735,eleve142,"83,33 %",ibo5,td3
736,eleve144,"83,33 %",ibo5,td3
737,eleve145,"83,33 %",ibo5,td3
738,eleve156,100 %,ibo5,td3
739,eleve160,100 %,ibo5,td3
740,eleve161,100 %,ibo5,td3
741,eleve174,100 %,ibo5,td3
742,eleve166,"66,67 %",ibo5,td3
743,eleve176,"83,33 %",ibo5,td3
744,eleve186,100 %,ibo5,td3
745,eleve196,"66,67 %",ibo5,td3
